Iteration,gNa,gK,gL,σ,ℓ,Accept
1.0,0.9944813719912906,0.9966491528187934,0.9757685706591276,1.5,-1178.1370185880785,0.0
2.0,0.9944813719912906,0.9966491528187934,0.9757685706591276,1.5,-1178.1370185880785,0.0
3.0,0.9944813719912906,0.9966491528187934,0.9757685706591276,1.5,-1178.1370185880785,0.0
4.0,0.9944813719912906,0.9966491528187934,0.9757685706591276,1.5,-1178.1370185880785,0.0
5.0,0.9944813719912906,0.9966491528187934,0.9757685706591276,1.5,-1178.1370185880785,0.0
6.0,0.9944813719912906,0.9966491528187934,0.9757685706591276,1.5,-1178.1370185880785,0.0
7.0,0.9944813719912906,0.9966491528187934,0.9757685706591276,1.5,-1178.1370185880785,0.0
8.0,0.9944813719912906,0.9966491528187934,0.9757685706591276,1.5,-1178.1370185880785,0.0
9.0,0.9944813719912906,0.9966491528187934,0.9757685706591276,1.5,-1178.1370185880785,0.0
10.0,0.9944813719912906,0.9966491528187934,0.9757685706591276,1.5,-1178.1370185880785,0.0
11.0,0.9944813719912906,0.9966491528187934,0.9757685706591276,1.5,-1178.1370185880785,0.0
12.0,0.9944813719912906,0.9966491528187934,0.9757685706591276,1.5,-1178.1370185880785,0.0
13.0,0.9944813719912906,0.9966491528187934,0.9757685706591276,1.5,-1178.1370185880785,0.0
14.0,0.9944813719912906,0.9966491528187934,0.9757685706591276,1.5,-1178.1370185880785,0.0
15.0,0.9944813719912906,0.9966491528187934,0.9757685706591276,1.5,-1178.1370185880785,0.0
16.0,0.9944813719912906,0.9966491528187934,0.9757685706591276,1.5,-1178.1370185880785,0.0
17.0,0.9944813719912906,0.9966491528187934,0.9757685706591276,1.5,-1178.1370185880785,0.0
18.0,0.9944813719912906,0.9966491528187934,0.9757685706591276,1.5,-1178.1370185880785,0.0
19.0,0.9944813719912906,0.9966491528187934,0.9757685706591276,1.5,-1178.1370185880785,0.0
20.0,0.9944813719912906,0.9966491528187934,0.9757685706591276,1.5,-1178.1370185880785,0.0
21.0,0.9944813719912906,0.9966491528187934,0.9757685706591276,1.5,-1178.1370185880785,0.0
22.0,0.9940109086587425,0.9966704889497776,0.9766829499293667,1.5005665391041043,-1178.9908269266552,1.0
23.0,0.9940109086587425,0.9966704889497776,0.9766829499293667,1.5005665391041043,-1178.9908269266552,0.0
24.0,0.9940109086587425,0.9966704889497776,0.9766829499293667,1.5005665391041043,-1178.9908269266552,0.0
25.0,0.9940109086587425,0.9966704889497776,0.9766829499293667,1.5005665391041043,-1178.9908269266552,0.0
26.0,0.9940109086587425,0.9966704889497776,0.9766829499293667,1.5005665391041043,-1178.9908269266552,0.0
27.0,0.9940109086587425,0.9966704889497776,0.9766829499293667,1.5005665391041043,-1178.9908269266552,0.0
28.0,0.9940109086587425,0.9966704889497776,0.9766829499293667,1.5005665391041043,-1178.9908269266552,0.0
29.0,0.9940109086587425,0.9966704889497776,0.9766829499293667,1.5005665391041043,-1178.9908269266552,0.0
